"row","col","code","name"
1,5,"E09000010","Enfield"
2,3,"E09000015","Harrow"
2,4,"E09000003","Barnet"
2,5,"E09000014","Haringey"
2,6,"E09000031","Waltham Forest"
2,7,"E09000026","Redbridge"
2,8,"E09000016","Havering"
3,1,"E09000017","Hillingdon"
3,2,"E09000009","Ealing"
3,3,"E09000005","Brent"
3,4,"E09000007","Camden"
3,5,"E09000019","Islington"
3,6,"E09000012","Hackney"
3,7,"E09000025","Newham"
3,8,"E09000002","Barking and Dagenham"
4,2,"E09000018","Hounslow"
4,3,"E09000013","Hammersmith and Fulham"
4,4,"E09000020","Kensington and Chelsea"
4,5,"E09000033","Westminster"
4,6,"E09000001","City of London"
4,7,"E09000030","Tower Hamlets"
5,2,"E09000027","Richmond upon Thames"
5,3,"E09000032","Wandsworth"
5,4,"E09000022","Lambeth"
5,5,"E09000028","Southwark"
5,6,"E09000023","Lewisham"
5,7,"E09000011","Greenwich"
6,3,"E09000021","Kingston upon Thames"
6,4,"E09000024","Merton"
6,5,"E09000008","Croydon"
6,6,"E09000006","Bromley"
6,7,"E09000004","Bexley"
7,4,"E09000029","Sutton"
